pi,ro,collab,institute,scope,collabing_pi
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Ann C.M. Smith, MA, DSc (hon)",NHGRI,NIH,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,"Jizhong  Zou, PhD",NHLBI,NIH,
"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,Morgan N Similuk,NIAID,NIH,
"Francisco  Pereira, PhD",Machine Learning Team,"Adam G Thomas, DPhil",Data Science and Sharing Team,NIMH,"Adam G Thomas, DPhil"
"Francisco  Pereira, PhD",Machine Learning Team,"Dylan M Nielson, PhD",Mood Brain & Development Unit,NIMH,"Argyrios  Stringaris, PhD"
"Francisco  Pereira, PhD",Machine Learning Team,"John Gavin Rodgers-Lee, PhD",Scientific and Statistical Computing Core,NIMH,"Robert  Cox, PhD"
"Francisco  Pereira, PhD",Machine Learning Team,Martin Nikolai Hebart,Section on Learning and Plasticity,NIMH,"Christopher Ian Baker, PhD"
"Francisco  Pereira, PhD",Machine Learning Team,"Christopher Ian Baker, PhD",Section on Learning and Plasticity,NIMH,"Christopher Ian Baker, PhD"
"Francisco  Pereira, PhD",Machine Learning Team,"Emily Suzanne Finn, PhD",Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"Francisco  Pereira, PhD",Machine Learning Team,"Javier  Gonzalez-Castillo, PhD",Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"Francisco  Pereira, PhD",Machine Learning Team,"Ana Rita Lourenco Inacio, PhD",Unit on Functional Neural Circuits,NIMH,"Soohyun  Lee, PhD"
"Francisco  Pereira, PhD",Machine Learning Team,"Soohyun  Lee, PhD",Unit on Functional Neural Circuits,NIMH,"Soohyun  Lee, PhD"
"Francisco  Pereira, PhD",Machine Learning Team,Michal  Ramot,Section on Cognitive Neuropsychology,NIMH,"Alex  Martin, PhD"
"Francisco  Pereira, PhD",Machine Learning Team,Idan  Blank,"UCLA, Psychology",EM,
"Francisco  Pereira, PhD",Machine Learning Team,Evelina  Fedorenko,"Massachusetts Institute of Technology, Brain and Cognitive Sciences",EM,
"Francisco  Pereira, PhD",Machine Learning Team,Satrajit S Ghosh,"Massachusetts Institute of Technology, McGovern Institute for Brain Research",EM,
"Francisco  Pereira, PhD",Machine Learning Team,Martin  Hebart,Max Planck Institute for Human Cognitive and Brain Sciences,EM,
"Francisco  Pereira, PhD",Machine Learning Team,"Lauren Yvette Atlas, PhD",NCCIH,NIH,
"Francisco  Pereira, PhD",Machine Learning Team,"Bevil Richard Conway, PhD",NEI,NIH,
"Francisco  Pereira, PhD",Machine Learning Team,Marianne Fanny Clotilde Duyck,NEI,NIH,
"Francisco  Pereira, PhD",Machine Learning Team,"Mark  Hallett, MD",NINDS,NIH,
"Francisco  Pereira, PhD",Machine Learning Team,"Bruce  Hope, PhD",NIDA,NIH,
"Francisco  Pereira, PhD",Machine Learning Team,"Silvina  Horovitz, PhD",NINDS,NIH,
"Francisco  Pereira, PhD",Machine Learning Team,Rajtarun  Madangopal,NIDA,NIH,
"Francisco  Pereira, PhD",Machine Learning Team,Gabrielle Elise Reimann,CC,NIH,
"Francisco  Pereira, PhD",Machine Learning Team,"Geoffrey Mark Schoenbaum, MD",NIDA,NIH,
"Francisco  Pereira, PhD",Machine Learning Team,Shridhar Rishi Singh,NEI,NIH,
"Francisco  Pereira, PhD",Machine Learning Team,Rachel Lynn Weger,NCCIH,NIH,
"Francisco  Pereira, PhD",Machine Learning Team,Jingfeng  Zhou,NIDA,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Arash  Afraz, PhD, MD","Unit on Neurons, Circuits and Behavior",NIMH,"Arash  Afraz, PhD, MD"
"George Raphael Dold, MS",Section on Instrumentation,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH,"Bruno B Averbeck, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Heather A Cameron, PhD",Section on Neuroplasticity,NIMH,"Heather A Cameron, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH,"Yogita  Chudasama, PhD"
"George Raphael Dold, MS",Section on Instrumentation,Ellen  Condon,Functional MRI Core,NIMH,"Peter A Bandettini, BS, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Zhi-De  Deng, PhD",Unit on Non-invasive Neuromodulation,NIMH,"Sarah Hollingsworth Lisanby, MD"
"George Raphael Dold, MS",Section on Instrumentation,"Mark Eldridge, PhD",Section on Neural Coding and Computation,NIMH,"Barry J Richmond, MD"
"George Raphael Dold, MS",Section on Instrumentation,Amicia Devin Elliott,Section on Neural Function,NIMH,"Benjamin H White, PhD"
"George Raphael Dold, MS",Section on Instrumentation,Rossella  Falcone,Section on Neural Coding and Computation,NIMH,"Barry J Richmond, MD"
"George Raphael Dold, MS",Section on Instrumentation,"Jinsoo  Hong, MS, PhD",Section on PET Radiopharmaceutical Sciences,NIMH,"Victor W Pike, PhD"
"George Raphael Dold, MS",Section on Instrumentation,Camilla Rose-Marie Karlsson,Section on Neuroplasticity,NIMH,"Heather A Cameron, PhD"
"George Raphael Dold, MS",Section on Instrumentation,Kenji  Koyano,Section on Cognitive Neurophysiology and Imaging,NIMH,"David A Leopold, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Soohyun  Lee, PhD",Unit on Functional Neural Circuits,NIMH,"Soohyun  Lee, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,NIMH,"David A Leopold, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Shizhe Steve Li, PhD",Magnetic Resonance Core,NIMH,"Jun  Shen, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,NIMH,"Sarah Hollingsworth Lisanby, MD"
"George Raphael Dold, MS",Section on Instrumentation,"Andrew Rattin Mitz, PhD",Section on Neurobiology of Learning and Memory,NIMH,"Elisabeth Adams Murray, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,NIMH,"Elisabeth Adams Murray, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Mario Alexander Penzo, PhD",Unit on the Neurobiology of Affective Memory,NIMH,"Mario Alexander Penzo, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"James M Pickel, PhD, AB",Transgenic Core,NIMH,"James M Pickel, PhD, AB"
"George Raphael Dold, MS",Section on Instrumentation,"Victor W Pike, PhD",Section on PET Radiopharmaceutical Sciences,NIMH,"Victor W Pike, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,NIMH,"Dietmar  Plenz, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Jia  Qi, PhD",Unit on Functional Neural Circuits,NIMH,"Soohyun  Lee, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Barry J Richmond, MD",Section on Neural Coding and Computation,NIMH,"Barry J Richmond, MD"
"George Raphael Dold, MS",Section on Instrumentation,"Vinai  Roopchansingh, PhD",Functional MRI Core,NIMH,"Peter A Bandettini, BS, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Richard C Saunders, PhD",Section on Learning and Decision Making,NIMH,"Bruno B Averbeck, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Leslie G Ungerleider, PhD",Section on Neurocircuitry,NIMH,"Leslie G Ungerleider, PhD"
"George Raphael Dold, MS",Section on Instrumentation,"Theodore B Usdin, MD",Systems Neuroscience Imaging Resource,NIMH,"Theodore B Usdin, MD"
"George Raphael Dold, MS",Section on Instrumentation,"Benjamin H White, PhD",Section on Neural Function,NIMH,"Benjamin H White, PhD"
"George Raphael Dold, MS",Section on Instrumentation,Ma  Xiaoyu,Clinical and Translational Neuroscience Branch,NIMH,"Karen F Berman, MD"
"George Raphael Dold, MS",Section on Instrumentation,"Walter Scott Young, MD, PhD, MPH",Section on Neural Gene Expression,NIMH,"Walter Scott Young, MD, PhD, MPH"
"George Raphael Dold, MS",Section on Instrumentation,"Daniel T Abebe, MS",NICHD,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Zane Nathan Aldworth, PhD",NICHD,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Lauren Yvette Atlas, PhD",NCCIH,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Andres  Buonanno, PhD",NICHD,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Alexander Theodore Chesler, PhD",NCCIH,NIH,
"George Raphael Dold, MS",Section on Instrumentation,Thanh-Nguyet Thi Dang,NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Jeffrey S Diamond, PhD",NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,Huayu  Ding,NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Stephen John Dodd, PhD",NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Yi  Gu, PhD",NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Dax A Hoffman, PhD",NICHD,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Miguel  Holmgren, PhD",NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Lynne Ann A Holtzclaw, BS",NICHD,NIH,
"George Raphael Dold, MS",Section on Instrumentation,Yu-Shan  Hung,NICHD,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Alan Paul Koretsky, PhD",NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Wei  Lu, PhD",NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Chris James McBain, PhD",NICHD,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Dorian  McGavern, PhD",NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Hellmut  Merkle, PHD, MS",NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Jeeva P Munasinghe, PhD",NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Joseph  Murphy-Boesch, PhD",NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,Duc Minh Nguyen,NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Thomas J Pohida, MS",NIBIB,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Randall Harrison Pursley, MS",CIT,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Mark A Stopfer, PhD",NICHD,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Kenton J Swartz, PhD",NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Judith R Walters, PhD",NINDS,NIH,
"George Raphael Dold, MS",Section on Instrumentation,"Ling Gang  Wu, PhD",NINDS,NIH,
"Heather A Cameron, PhD",Section on Neuroplasticity,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH,"Bruno B Averbeck, PhD"
"Heather A Cameron, PhD",Section on Neuroplasticity,"Theodore B Usdin, MD",Systems Neuroscience Imaging Resource,NIMH,"Theodore B Usdin, MD"
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH,"Yogita  Chudasama, PhD"
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,NIMH,"Samer Saleh Hattar, PhD"
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,"Theodore B Usdin, MD",Systems Neuroscience Imaging Resource,NIMH,"Theodore B Usdin, MD"
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,Zachary Z Freyberg,"University of Pittsburgh, Department of Psychiatry",EM,
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,Michael  Tadross,Duke University,EM,
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,Lin  Tian,University of California Davis Medical Center,EM,
"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,"Paule Valery Joseph, PhD",NIAAA,NIH,
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Arash  Afraz, PhD, MD","Unit on Neurons, Circuits and Behavior",NIMH,"Arash  Afraz, PhD, MD"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH,"Bruno B Averbeck, PhD"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Heather A Cameron, PhD",Section on Neuroplasticity,NIMH,"Heather A Cameron, PhD"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH,"Yogita  Chudasama, PhD"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Lee E Eiden, PhD",Section on Molecular Neuroscience,NIMH,"Lee E Eiden, PhD"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,NIMH,"Charles R Gerfen, PhD"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,NIMH,"Samer Saleh Hattar, PhD"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Miles  Herkenham, PhD",Section on Functional Neroanatomy,NIMH,"Miles  Herkenham, PhD"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Mark H Histed, PhD",Unit on Neural Computation and Behavior,NIMH,"Mark H Histed, PhD"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Robert  Innis, MD",Section on PET Neuroimaging Sciences,NIMH,"Robert  Innis, MD"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Soohyun  Lee, PhD",Unit on Functional Neural Circuits,NIMH,"Soohyun  Lee, PhD"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,NIMH,"David A Leopold, PhD"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Zheng  Li, PhD",Section on Synapse Development Plasticity,NIMH,"Zheng  Li, PhD"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,NIMH,"Elisabeth Adams Murray, PhD"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Mario Alexander Penzo, PhD",Unit on the Neurobiology of Affective Memory,NIMH,"Mario Alexander Penzo, PhD"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"James M Pickel, PhD, AB",Transgenic Core,NIMH,"James M Pickel, PhD, AB"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,NIMH,"Dietmar  Plenz, PhD"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Barry J Richmond, MD",Section on Neural Coding and Computation,NIMH,"Barry J Richmond, MD"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Jun  Shen, PhD",Molecular Imaging Branch,NIMH,"Robert  Innis, MD"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Carolyn E Smith, PhD",Section on Neuro-adaptation and Protein Metabolism,NIMH,"Carolyn E Smith, PhD"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,NIMH,"Hugo Alejandro Tejeda, PhD"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Leslie G Ungerleider, PhD",Section on Neurocircuitry,NIMH,"Leslie G Ungerleider, PhD"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Theodore B Usdin, MD",Systems Neuroscience Imaging Resource,NIMH,"Theodore B Usdin, MD"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Walter Scott Young, MD, PhD, MPH",Section on Neural Gene Expression,NIMH,"Walter Scott Young, MD, PhD, MPH"
"James  Raber, DVM, PhD",Veterinary Medicine and Resources Branch,"Stephen Leroy Denny, DVM",OD,NIH,
"James M Pickel, PhD, AB",Transgenic Core,"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,NIMH,"Charles R Gerfen, PhD"
"James M Pickel, PhD, AB",Transgenic Core,"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,NIMH,"Samer Saleh Hattar, PhD"
"James M Pickel, PhD, AB",Transgenic Core,"Zheng  Li, PhD",Section on Synapse Development Plasticity,NIMH,"Zheng  Li, PhD"
"James M Pickel, PhD, AB",Transgenic Core,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,NIMH,"Hugo Alejandro Tejeda, PhD"
"James M Pickel, PhD, AB",Transgenic Core,Ricardo  del Rosario,Broad Institute,EM,
"James M Pickel, PhD, AB",Transgenic Core,Guoping  Feng,"Massachusetts Institute of Technology, McGovern Institute for Brain Research",EM,
"James M Pickel, PhD, AB",Transgenic Core,Nicholas  Flytzanis,California Institute of Technology,EM,
"James M Pickel, PhD, AB",Transgenic Core,Viviana  Gradinaru,California Institute of Technology,EM,
"James M Pickel, PhD, AB",Transgenic Core,Nancy  Ip,University of Hong Kong,EM,
"James M Pickel, PhD, AB",Transgenic Core,Qiangge  Zhang,Massachusettes Institute of Technology,EM,
"James M Pickel, PhD, AB",Transgenic Core,"Juan S Bonifacino, PhD",NICHD,NIH,
"James M Pickel, PhD, AB",Transgenic Core,"Carsten Gerhart Bönnemann, MD",NINDS,NIH,
"James M Pickel, PhD, AB",Transgenic Core,"Huaibin  Cai, PhD",NIA,NIH,
"James M Pickel, PhD, AB",Transgenic Core,"Alexander Theodore Chesler, PhD",NCCIH,NIH,
"James M Pickel, PhD, AB",Transgenic Core,"Richard Douglas Fields, PhD",NICHD,NIH,
"James M Pickel, PhD, AB",Transgenic Core,"Stephen  Kaler, MD, MPH",NICHD,NIH,
"James M Pickel, PhD, AB",Transgenic Core,"Claire Eliane Le Pichon, PhD",NICHD,NIH,
"James M Pickel, PhD, AB",Transgenic Core,"Lorenzo  Leggio, MD, PhD",NIDA,NIH,
"James M Pickel, PhD, AB",Transgenic Core,"Ariel Johanna Levine, MD",NINDS,NIH,
"James M Pickel, PhD, AB",Transgenic Core,"Chris James McBain, PhD",NICHD,NIH,
"James M Pickel, PhD, AB",Transgenic Core,"Dorian  McGavern, PhD",NINDS,NIH,
"James M Pickel, PhD, AB",Transgenic Core,"Derek Paul Narendra, BA, MD, PhD",NINDS,NIH,
"James M Pickel, PhD, AB",Transgenic Core,"Kenneth  Pelkey, PhD",NICHD,NIH,
"James M Pickel, PhD, AB",Transgenic Core,"Timothy James Petros, PhD",NICHD,NIH,
"James M Pickel, PhD, AB",Transgenic Core,"Katherine Walton Roche, PhD",NINDS,NIH,
"James M Pickel, PhD, AB",Transgenic Core,"Nicholas  Ryba, DPhil",NIDCR,NIH,
"James M Pickel, PhD, AB",Transgenic Core,Shahriar  SheikhBahaei,NINDS,NIH,
"James M Pickel, PhD, AB",Transgenic Core,"Susan  Wray, PhD",NINDS,NIH,
"James M Pickel, PhD, AB",Transgenic Core,"Jack A Yanovski, MD, PhD",NICHD,NIH,
"James M Pickel, PhD, AB",Transgenic Core,"Richard James Youle, PhD",NINDS,NIH,
Jennifer S Wong,Office of Technology Transfer,Susan E Ano,OD,NIH,
Jennifer S Wong,Office of Technology Transfer,Oksana Igorevna Dukhanina,NINDS,NIH,
Jennifer S Wong,Office of Technology Transfer,Olufunmilola Olufemi,NINDS,NIH,
Jennifer S Wong,Office of Technology Transfer,Smita A Sharma,OD,NIH,
"Jun  Shen, PhD",Magnetic Resonance Core,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH,"Karen F Berman, MD"
"Jun  Shen, PhD",Magnetic Resonance Core,"Robert  Innis, MD",Section on PET Neuroimaging Sciences,NIMH,"Robert  Innis, MD"
"Jun  Shen, PhD",Magnetic Resonance Core,"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,NIMH,"Sarah Hollingsworth Lisanby, MD"
"Jun  Shen, PhD",Magnetic Resonance Core,"Lindsay Meredith Oberman, PhD",Unit on Non-invasive Neuromodulation,NIMH,"Sarah Hollingsworth Lisanby, MD"
"Jun  Shen, PhD",Magnetic Resonance Core,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Jun  Shen, PhD",Magnetic Resonance Core,R  de Beer,Delft University of Technology,EM,
"Jun  Shen, PhD",Magnetic Resonance Core,Q  Duan,United States Food and Drug Administration,EM,
"Jun  Shen, PhD",Magnetic Resonance Core,J  Murdoch,Toshiba Medical Research Institute USA,EM,
"Jun  Shen, PhD",Magnetic Resonance Core,D  van Ormondt,Delft University of Technology,EM,
"Jun  Shen, PhD",Magnetic Resonance Core,Simona  Bianconi,NICHD,NIH,
"Jun  Shen, PhD",Magnetic Resonance Core,Carlos Raul Ferreira,NHGRI,NIH,
"Jun  Shen, PhD",Magnetic Resonance Core,"Mark Richard Gilbert, MD",NCI,NIH,
"Jun  Shen, PhD",Magnetic Resonance Core,"Kevin Dennis Hall, BSc, PhD",NIDDK,NIH,
"Jun  Shen, PhD",Magnetic Resonance Core,"Mark  Hallett, MD",NINDS,NIH,
"Jun  Shen, PhD",Magnetic Resonance Core,"Forbes D Porter, MD, PhD",NICHD,NIH,
"Jun  Shen, PhD",Magnetic Resonance Core,"Leorey Nagac Saligan, PhD",NINR,NIH,
"Jun  Shen, PhD",Magnetic Resonance Core,"Phillip   Shaw, MD",NHGRI,NIH,
"Jun  Shen, PhD",Magnetic Resonance Core,"Sardha Lalith Talagala, PhD",NINDS,NIH,
"Jun  Shen, PhD",Magnetic Resonance Core,"Nora D Volkow, MD",NIDA,NIH,
"Jun  Shen, PhD",Magnetic Resonance Core,"Corinde Elsenoor Wiers, PhD",NIAAA,NIH,
"Jun  Shen, PhD",Magnetic Resonance Core,"Jing  Wu, PhD",NCI,NIH,
"Jun  Shen, PhD",Section on Magnetic Resonance Spectroscopy,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH,"Karen F Berman, MD"
"Jun  Shen, PhD",Section on Magnetic Resonance Spectroscopy,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Jun  Shen, PhD",Section on Magnetic Resonance Spectroscopy,Vishwajit  Nimgaonkar,University of Pittsburgh Medical Center,EM,
"Jun  Shen, PhD",Section on Magnetic Resonance Spectroscopy,"Mark Richard Gilbert, MD",NCI,NIH,
"Jun  Shen, PhD",Section on Magnetic Resonance Spectroscopy,"Leorey Nagac Saligan, PhD",NINR,NIH,
"Jun  Shen, PhD",Section on Magnetic Resonance Spectroscopy,"Phillip   Shaw, MD",NHGRI,NIH,
"Jun  Shen, PhD",Section on Magnetic Resonance Spectroscopy,"Jing  Wu, PhD",NCI,NIH,
"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH,"Barbara K Lipska, PhD"
"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH,"Bruno B Averbeck, PhD"
"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,"Bhaskar S Kolachana, PhD",Human Brain Collection Core,NIMH,"Barbara K Lipska, PhD"
"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH,"Barbara K Lipska, PhD"
"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,Katherine  Reding,Section on Behavioral Endocrinology,NIMH,"Peter J Schmidt, MD"
"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,"Peter J Schmidt, MD",Section on Behavioral Endocrinology,NIMH,"Peter J Schmidt, MD"
"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,Shau-Ming  Wei,Section on Behavioral Endocrinology,NIMH,"Peter J Schmidt, MD"
"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,"Bhaskar S Kolachana, PhD",Human Brain Collection Core,NIMH,"Barbara K Lipska, PhD"
"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH,"Barbara K Lipska, PhD"
"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,"Jun  Shen, PhD",Molecular Imaging Branch,NIMH,"Robert  Innis, MD"
"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,"Johan W Van Der Veen, PhD",Magnetic Resonance Core,NIMH,"Jun  Shen, PhD"
"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,Carolyn B Mervis,University of Louisville,EM,
"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,Colleen A Morris,"University of Nevada, Las Vegas",EM,
"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,"Ellen  Sidransky, MD",NHGRI,NIH,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Elizabeth Day Ballard, PhD",Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Christian  Grillon, PhD",Section on Neurobiology of Fear and Anxiety,NIMH,"Christian  Grillon, PhD"
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,NIMH,"Francis Joseph McMahon, MD"
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Lisa Meryl Horowitz, PhD",Office of the Clinical Director,NIMH,"Maryland  Pao, BA, MD"
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH,"Yogita  Chudasama, PhD"
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,NIMH,"Samer Saleh Hattar, PhD"
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Ian  Hickie,"University of Sydney, Australia, Brain and Mind Centre",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Femke  Lamers,"VU University Medical Center, Netherlands",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Alison  Merikangas,Children's Hospital of Philadelphia,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Martin  Preisig,"University of Lausanne, Switzerland",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Neil  Risch,University of California at San Francisco,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Haochang  Shou,"University of Pennsylvania, Department of Biostatistics",EM,
